vs,game,quarter,time,description,shot,prev_shot
ORL,1,1,09:07:00,Kobe Bryant misses jumper,M,prev_H
ORL,1,1,08:11:00,Kobe Bryant misses 7-foot jumper,M,prev_M
ORL,1,1,07:41:00,Kobe Bryant makes 16-foot jumper (Derek Fisher assists),H,prev_M
ORL,1,1,07:03:00,Kobe Bryant makes driving layup,H,prev_H
ORL,1,1,06:01:00,Kobe Bryant misses jumper,M,prev_H
ORL,1,1,04:07:00,Kobe Bryant misses 12-foot jumper,M,prev_M
ORL,1,1,00:52:00,Kobe Bryant misses 19-foot jumper,M,prev_M
ORL,1,1,00:00:00,Kobe Bryant misses layup,M,prev_M
ORL,1,2,05:58:00,Kobe Bryant makes 20-foot jumper,H,prev_H
ORL,1,2,05:22:00,Kobe Bryant makes 14-foot jumper,H,prev_H
ORL,1,2,04:37:00,Kobe Bryant misses driving layup,M,prev_H
ORL,1,2,03:30:00,Kobe Bryant makes 9-foot two point shot,H,prev_M
ORL,1,2,02:55:00,Kobe Bryant makes 14-foot running jumper,H,prev_H
ORL,1,2,01:55:00,Kobe Bryant misses 19-foot jumper,M,prev_H
ORL,1,2,00:38:00,Kobe Bryant misses 27-foot three point jumper,M,prev_M
ORL,1,2,00:04:00,Kobe Bryant makes driving layup,H,prev_M
ORL,1,3,11:15:00,Kobe Bryant makes 11-foot two point shot,H,prev_H
ORL,1,3,10:14:00,Kobe Bryant misses 13-foot jumper,M,prev_H
ORL,1,3,09:15:00,Kobe Bryant misses 9-foot jumper,M,prev_M
ORL,1,3,06:43:00,Kobe Bryant makes 14-foot two point shot,H,prev_M
ORL,1,3,04:58:00,Kobe Bryant misses 16-foot jumper,M,prev_H
ORL,1,3,04:24:00,Kobe Bryant makes two point shot,H,prev_M
ORL,1,3,03:55:00,Kobe Bryant makes 17-foot running jumper,H,prev_H
ORL,1,3,03:16:00,Kobe Bryant makes 9-foot two point shot,H,prev_H
ORL,1,3,01:15:00,Kobe Bryant misses 20-foot jumper,M,prev_H
ORL,1,3,00:00:00,Kobe Bryant misses 6-foot running jumper,M,prev_M
ORL,1,4,06:16:00,Kobe Bryant misses 11-foot jumper,M,prev_M
ORL,1,4,05:48:00,Kobe Bryant misses layup,M,prev_M
ORL,1,4,02:54:00,Kobe Bryant misses 13-foot jumper,M,prev_M
ORL,1,4,01:59:00,Kobe Bryant makes 10-foot jumper,H,prev_M
ORL,2,1,05:09:00,Kobe Bryant makes 18-foot two point shot,H,prev_M
ORL,2,1,04:35:00,Kobe Bryant misses 21-foot jumper,M,prev_H
ORL,2,1,00:01:00,Kobe Bryant misses 32-foot three point jumper,M,prev_M
ORL,2,3,09:52:00,Kobe Bryant makes 15-foot two point shot,H,prev_H
ORL,2,3,09:23:00,Kobe Bryant makes 16-foot two point shot,H,prev_H
ORL,2,3,08:48:00,Kobe Bryant misses 22-foot jumper,M,prev_H
ORL,2,3,04:37:00,Kobe Bryant makes slam dunk (Trevor Ariza assists),H,prev_M
ORL,2,3,04:07:00,Kobe Bryant misses 7-foot jumper,M,prev_H
ORL,2,3,03:29:00,Kobe Bryant misses 17-foot jumper,M,prev_M
ORL,2,3,01:20:00,Kobe Bryant makes 18-foot jumper,H,prev_M
ORL,2,3,00:45:00,Kobe Bryant misses 25-foot three point jumper,M,prev_H
ORL,2,3,00:00:00,Kobe Bryant misses 31-foot three point jumper,M,prev_M
ORL,2,4,05:37:00,Kobe Bryant misses 12-foot jumper,M,prev_H
ORL,2,4,01:54:00,Kobe Bryant misses 12-foot two point shot,M,prev_M
ORL,2,4,01:10:00,Kobe Bryant makes 11-foot two point shot,H,prev_M
ORL,2,1OT,02:17:00,Kobe Bryant makes 11-foot two point shot,H,prev_M
ORL,4,1,08:29:00,Kobe Bryant misses 19-foot jumper,M,prev_H
ORL,4,1,07:01:00,Kobe Bryant misses 13-foot two point shot,M,prev_M
ORL,4,1,06:03:00,Kobe Bryant makes driving layup,H,prev_M
ORL,4,1,05:16:00,Kobe Bryant misses 9-foot jumper,M,prev_H
ORL,4,1,03:02:00,Kobe Bryant makes 18-foot jumper,H,prev_M
ORL,4,1,00:19:00,Kobe Bryant makes 21-foot jumper,H,prev_H
ORL,4,2,04:01:00,Kobe Bryant makes 26-foot three point jumper (Trevor Ariza assists),H,prev_M
ORL,4,2,03:15:00,Kobe Bryant misses 16-foot two point shot,M,prev_H
ORL,4,2,02:08:00,Kobe Bryant misses 20-foot jumper,M,prev_M
ORL,4,2,00:39:00,Kobe Bryant misses 26-foot three point jumper,M,prev_M
ORL,4,3,07:24:00,Kobe Bryant misses 20-foot jumper,M,prev_H
ORL,4,3,07:13:00,Kobe Bryant misses layup,M,prev_M
ORL,4,3,05:30:00,Kobe Bryant misses 16-foot jumper,M,prev_M
ORL,4,3,00:51:00,Kobe Bryant misses 26-foot three point jumper,M,prev_M
ORL,4,3,00:04:00,Kobe Bryant makes 16-foot jumper,H,prev_M
ORL,4,4,07:24:00,Kobe Bryant makes 21-foot jumper,H,prev_M
ORL,4,4,06:26:00,Kobe Bryant misses 19-foot jumper,M,prev_H
ORL,4,4,05:20:00,Kobe Bryant misses 5-foot jumper,M,prev_M
ORL,4,4,04:48:00,Kobe Bryant makes 11-foot two point shot,H,prev_M
ORL,4,4,03:33:00,Kobe Bryant misses 27-foot three point jumper,M,prev_H
ORL,4,4,01:02:00,Kobe Bryant misses 28-foot three point jumper,M,prev_M
ORL,4,1OT,03:32:00,Kobe Bryant makes 19-foot jumper,H,prev_H
ORL,4,1OT,02:49:00,Kobe Bryant misses 10-foot jumper,M,prev_H
ORL,4,1OT,01:58:00,Kobe Bryant misses 18-foot jumper,M,prev_M
ORL,4,1OT,00:47:00,Kobe Bryant misses 15-foot jumper,M,prev_M
ORL,5,1,09:56:00,Kobe Bryant makes 18-foot jumper,H,prev_M
ORL,5,1,05:20:00,Kobe Bryant makes 20-foot jumper,H,prev_H
ORL,5,1,04:48:00,Kobe Bryant makes 25-foot three point jumper,H,prev_H
ORL,5,1,03:48:00,Kobe Bryant misses 25-foot three point jumper,M,prev_H
ORL,5,1,01:13:00,Kobe Bryant misses 17-foot jumper,M,prev_M
ORL,5,2,06:48:00,Kobe Bryant misses 12-foot jumper,M,prev_H
ORL,5,2,06:28:00,Kobe Bryant misses layup,M,prev_M
ORL,5,2,04:43:00,Kobe Bryant makes 14-foot jumper,H,prev_M
ORL,5,2,00:25:00,Kobe Bryant misses 23-foot jumper,M,prev_H
ORL,5,3,05:52:00,Kobe Bryant makes 6-foot running jumper,H,prev_H
ORL,5,3,02:17:00,Kobe Bryant misses 15-foot jumper,M,prev_H
ORL,5,4,09:56:00,Kobe Bryant misses two point shot,M,prev_H
ORL,5,4,09:06:00,Kobe Bryant misses 14-foot two point shot,M,prev_M
ORL,5,4,08:18:00,Kobe Bryant makes 25-foot three point jumper,H,prev_M
ORL,5,4,06:22:00,Kobe Bryant misses 18-foot jumper,M,prev_H
ORL,5,4,04:26:00,Kobe Bryant misses 27-foot three point jumper,M,prev_M
ORL,5,4,03:12:00,Kobe Bryant misses 27-foot three point jumper,M,prev_M
ORL,5,4,02:38:00,Kobe Bryant makes 9-foot two point shot,H,prev_M
ORL,5,4,02:06:00,Kobe Bryant misses 13-foot jumper,M,prev_H
ORL,3,1,05:09:00,Bryant 3pt Shot: Made (5 PTS),H,prev_H
ORL,3,1,04:42:00,Bryant Jump Shot: Made (7 PTS) Assist: Fisher (1 AST),H,prev_H
ORL,3,1,03:37:00,Bryant Reverse Layup Shot: Missed,M,prev_H
ORL,3,1,03:07:00,Bryant Finger Roll Layup Shot: Made (9 PTS),H,prev_M
ORL,3,1,02:00:00,Bryant Jump Shot: Made (11 PTS),H,prev_H
ORL,3,1,01:18:00,Bryant Jump Shot: Made (13 PTS),H,prev_H
ORL,3,1,00:34:00,Bryant Layup Shot: Missed Block: Battie (1 BLK),M,prev_H
ORL,3,1,00:30:00,Bryant 3pt Shot: Made (16 PTS) Assist: Bynum (1 AST),H,prev_M
ORL,3,1,00:00:00,Bryant Jump Shot: Missed,M,prev_H
ORL,3,2,03:13:00,Bryant Fade Away Jumper Shot: Missed,M,prev_H
ORL,3,2,00:53:00,Bryant Jump Shot: Missed Block: Howard (1 BLK),M,prev_M
ORL,3,2,00:41:00,Bryant 3pt Shot: Missed,M,prev_M
ORL,3,2,00:02:00,Bryant Jump Shot: Missed,M,prev_M
ORL,3,3,05:55:00,Bryant Fade Away Jumper Shot: Missed,M,prev_M
ORL,3,3,01:20:00,Bryant 3pt Shot: Made (26 PTS),H,prev_M
ORL,3,3,00:01:00,Bryant 3pt Shot: Missed,M,prev_H
ORL,3,4,03:33:00,Bryant Layup Shot: Missed,M,prev_H
ORL,3,4,02:02:00,Bryant 3pt Shot: Missed,M,prev_M
ORL,3,4,00:23:00,Bryant 3pt Shot: Missed,M,prev_M
ORL,3,4,00:06:00,Bryant 3pt Shot: Missed,M,prev_M
ORL,3,4,00:00:00,Bryant Layup Shot: Made (31 PTS),H,prev_M
